seed_dir,run_dir,method,n_agents,min_at_lever,weights,ablation,n_rows,expected,status,nan_inf,n_agents_found,final_mean_env,final_reward_env_stdev,final_fairness_var,final_fairness_sigma,final_energy_var,final_mean_winrate,converged,suspicious_reason,path
nano_er5,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er5/er_refine_3_1/log.csv
nano_er6,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er6/er_refine_3_1/log.csv
nano_er7,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er7/er_refine_3_1/log.csv
nano_er8,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er8/er_refine_3_1/log.csv
nano_er9,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er9/er_refine_3_1/log.csv
nano_er1,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er1/er_refine_4_2/log.csv
nano_er10,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er10/er_refine_4_2/log.csv
nano_er2,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er2/er_refine_4_2/log.csv
nano_er3,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er3/er_refine_4_2/log.csv
nano_er4,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er4/er_refine_4_2/log.csv
nano_er5,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er5/er_refine_4_2/log.csv
nano_er6,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er6/er_refine_4_2/log.csv
nano_er7,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er7/er_refine_4_2/log.csv
nano_er8,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er8/er_refine_4_2/log.csv
nano_er9,er_refine_4_2,refine,4,2,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er9/er_refine_4_2/log.csv
nano_er1,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er1/er_refine_6_4/log.csv
nano_er10,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er10/er_refine_6_4/log.csv
nano_er2,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er2/er_refine_6_4/log.csv
nano_er3,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er3/er_refine_6_4/log.csv
nano_er4,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er4/er_refine_6_4/log.csv
nano_er5,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er5/er_refine_6_4/log.csv
nano_er6,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er6/er_refine_6_4/log.csv
nano_er7,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er7/er_refine_6_4/log.csv
nano_er8,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er8/er_refine_6_4/log.csv
nano_er9,er_refine_6_4,refine,6,4,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er9/er_refine_6_4/log.csv
